data_iniSE,casos,pop,inc,trimestre,UF,trimestre-tick,regiao
2010-03-31,1,15989929.0,6.253936462131884e-08,201001,RJ,1° - 2010,Sudeste
2010-06-30,1,15989929.0,6.253936462131884e-08,201002,RJ,2° - 2010,Sudeste
2010-09-30,2,15989929.0,1.2507872924263767e-07,201003,RJ,3° - 2010,Sudeste
2010-12-31,1,15989929.0,6.253936462131884e-08,201004,RJ,4° - 2010,Sudeste
2011-03-31,0,16112637.0,0.0,201101,RJ,1° - 2011,Sudeste
2011-06-30,0,16112637.0,0.0,201102,RJ,2° - 2011,Sudeste
2011-09-30,0,16112637.0,0.0,201103,RJ,3° - 2011,Sudeste
2011-12-31,1,16112637.0,6.206308750082311e-08,201104,RJ,4° - 2011,Sudeste
2012-03-31,0,16231365.0,0.0,201201,RJ,1° - 2012,Sudeste
2012-06-30,0,16231365.0,0.0,201202,RJ,2° - 2012,Sudeste
2012-09-30,0,16231365.0,0.0,201203,RJ,3° - 2012,Sudeste
2012-12-31,0,16231365.0,0.0,201204,RJ,4° - 2012,Sudeste
2013-03-31,0,16369179.0,0.0,201301,RJ,1° - 2013,Sudeste
2013-06-30,3,16369179.0,1.8327125630430212e-07,201302,RJ,2° - 2013,Sudeste
2013-09-30,0,16369179.0,0.0,201303,RJ,3° - 2013,Sudeste
2013-12-31,2,16369179.0,1.2218083753620141e-07,201304,RJ,4° - 2013,Sudeste
2014-03-31,3,16461173.0,1.8224703670874487e-07,201401,RJ,1° - 2014,Sudeste
2014-06-30,2,16461173.0,1.2149802447249658e-07,201402,RJ,2° - 2014,Sudeste
2014-09-30,0,16461173.0,0.0,201403,RJ,3° - 2014,Sudeste
2014-12-31,1,16461173.0,6.074901223624829e-08,201404,RJ,4° - 2014,Sudeste
2015-03-31,28,16550024.0,1.6918404468779018e-06,201501,RJ,1° - 2015,Sudeste
2015-06-30,47,16550024.0,2.839875035830764e-06,201502,RJ,2° - 2015,Sudeste
2015-09-30,27,16550024.0,1.6314175737751195e-06,201503,RJ,3° - 2015,Sudeste
2015-12-31,193,16550024.0,1.1661614508836966e-05,201504,RJ,4° - 2015,Sudeste
2016-03-31,7131,16635996.0,0.00042864881669844114,201601,RJ,1° - 2016,Sudeste
2016-06-30,25051,16635996.0,0.001505831090606177,201602,RJ,2° - 2016,Sudeste
2016-09-30,2755,16635996.0,0.00016560475248972168,201603,RJ,3° - 2016,Sudeste
2016-12-31,1179,16635996.0,7.087041857908597e-05,201604,RJ,4° - 2016,Sudeste
2017-03-31,2064,16718956.0,0.0001234526844858016,201701,RJ,1° - 2017,Sudeste
2017-06-30,1831,16718956.0,0.00010951640760344127,201702,RJ,2° - 2017,Sudeste
2017-09-30,1215,16718956.0,7.267200176853149e-05,201703,RJ,3° - 2017,Sudeste
2017-12-31,1162,16718956.0,6.9501947370398e-05,201704,RJ,4° - 2017,Sudeste
2018-03-31,10477,17159960.0,0.0006105492087394143,201801,RJ,1° - 2018,Sudeste
2018-06-30,22548,17159960.0,0.0013139890768976152,201802,RJ,2° - 2018,Sudeste
2018-09-30,7828,17159960.0,0.00045617821952964924,201803,RJ,3° - 2018,Sudeste
2018-12-31,5141,17159960.0,0.0002995927729435267,201804,RJ,4° - 2018,Sudeste
2019-03-31,22698,17264943.0,0.00131468722485791,201901,RJ,1° - 2019,Sudeste
2019-06-30,63530,17264943.0,0.00367971096110772,201902,RJ,2° - 2019,Sudeste
2019-09-30,9371,17264943.0,0.0005427761910363677,201903,RJ,3° - 2019,Sudeste
2019-12-31,3524,17264943.0,0.0002041130399330018,201904,RJ,4° - 2019,Sudeste
