dt_sin_pri,notified,probable,lab_confirmed,acum_notified,acum_probable,acum_lab_confirmed,year,week
2010-01-03,2,1,1,4,3,3,2010,1
2010-01-10,14,8,1,73,41,11,2010,2
2010-01-17,27,14,12,209,113,58,2010,3
2010-01-24,28,16,12,433,225,147,2010,4
2010-01-31,30,24,15,606,355,234,2010,5
2010-02-07,48,40,22,910,614,381,2010,6
2010-02-14,93,84,61,1405,1040,671,2010,7
2010-02-21,108,82,57,2098,1613,1082,2010,8
2010-02-28,183,142,95,3095,2374,1624,2010,9
2010-03-07,361,289,168,5059,3945,2559,2010,10
2010-03-14,508,412,221,8333,6562,3999,2010,11
2010-03-21,621,535,315,12362,9958,5903,2010,12
2010-03-28,861,747,421,17639,14526,8558,2010,13
2010-04-04,788,685,405,23400,19522,11378,2010,14
2010-04-11,901,799,470,29434,24876,14695,2010,15
2010-04-18,804,720,232,35376,30125,17013,2010,16
2010-04-25,809,773,169,40779,35162,18224,2010,17
2010-05-02,703,673,112,46285,40446,19242,2010,18
2010-05-09,654,630,69,50995,44978,19851,2010,19
2010-05-16,417,402,51,54726,48570,20261,2010,20
2010-05-23,205,194,11,56593,50365,20405,2010,21
2010-05-30,102,95,5,57535,51246,20457,2010,22
2010-06-06,49,46,4,58061,51737,20485,2010,23
2010-06-13,49,46,3,58415,52066,20519,2010,24
2010-06-20,65,60,8,58837,52459,20551,2010,25
2010-06-27,56,50,6,59233,52824,20610,2010,26
2010-07-04,47,40,7,59603,53136,20651,2010,27
2010-07-11,42,30,6,59920,53381,20699,2010,28
2010-07-18,17,12,0,60108,53514,20713,2010,29
2010-07-25,17,10,0,60195,53568,20713,2010,30
2010-08-01,6,3,0,60293,53631,20713,2010,31
2010-08-08,5,2,0,60329,53645,20713,2010,32
2010-08-15,5,3,0,60364,53660,20713,2010,33
2010-08-22,7,5,0,60403,53688,20713,2010,34
2010-08-29,8,4,0,60458,53716,20713,2010,35
2010-09-05,7,5,1,60517,53757,20719,2010,36
2010-09-12,7,4,0,60566,53791,20720,2010,37
2010-09-19,8,4,0,60608,53811,20720,2010,38
2010-09-26,7,4,0,60669,53847,20720,2010,39
2010-10-03,6,4,0,60710,53872,20720,2010,40
2010-10-10,5,4,0,60749,53897,20720,2010,41
2010-10-17,12,8,1,60817,53948,20727,2010,42
2010-10-24,24,15,0,60917,53998,20727,2010,43
2010-10-31,34,21,2,61148,54166,20734,2010,44
2010-11-07,24,17,0,61348,54283,20741,2010,45
2010-11-14,32,20,1,61541,54413,20748,2010,46
2010-11-21,34,24,1,61802,54595,20749,2010,47
2010-11-28,33,24,1,62041,54761,20762,2010,48
2010-12-05,32,19,0,62233,54875,20762,2010,49
2010-12-12,99,66,4,62712,55191,20781,2010,50
2010-12-19,115,88,3,63530,55791,20808,2010,51
2010-12-26,78,52,7,64208,56280,20850,2010,52
2011-01-02,73,31,6,64694,56554,20891,2011,1
2011-01-09,74,9,9,65226,56634,20934,2011,2
2011-01-16,78,9,9,65718,56699,20999,2011,3
2011-01-23,117,23,23,66368,56833,21133,2011,4
2011-01-30,120,27,27,67298,57007,21307,2011,5
2011-02-06,119,34,33,68127,57238,21533,2011,6
2011-02-13,150,45,43,69038,57491,21777,2011,7
2011-02-20,214,57,55,70330,57832,22107,2011,8
2011-02-27,297,103,95,72174,58405,22641,2011,9
2011-03-06,400,143,114,74759,59370,23453,2011,10
2011-03-13,433,273,147,77545,60673,24331,2011,11
2011-03-20,607,506,241,81203,63596,25699,2011,12
2011-03-27,754,412,272,86431,67249,27676,2011,13
2011-04-03,642,229,219,91263,69067,29319,2011,14
2011-04-10,497,152,136,94994,70324,30491,2011,15
2011-04-17,292,130,59,97674,71236,31120,2011,16
2011-04-24,165,105,31,99192,72148,31436,2011,17
2011-05-01,121,71,21,100166,72754,31579,2011,18
2011-05-08,75,22,9,100768,73021,31690,2011,19
2011-05-15,67,8,6,101294,73089,31732,2011,20
2011-05-22,51,7,1,101687,73128,31751,2011,21
2011-05-29,52,7,4,102063,73198,31772,2011,22
2011-06-05,28,1,1,102306,73209,31783,2011,23
2011-06-12,15,1,1,102433,73220,31794,2011,24
2011-06-19,20,2,2,102561,73228,31802,2011,25
2011-06-26,12,0,0,102665,73234,31808,2011,26
2011-07-03,4,0,0,102707,73234,31808,2011,27
2011-07-10,12,2,1,102765,73241,31814,2011,28
2011-07-17,11,0,0,102851,73248,31815,2011,29
2011-07-24,10,0,0,102924,73248,31815,2011,30
2011-07-31,9,1,0,102998,73253,31815,2011,31
2011-08-07,13,1,0,103051,73256,31815,2011,32
2011-08-14,14,2,2,103148,73271,31824,2011,33
2011-08-21,11,0,0,103249,73276,31829,2011,34
2011-08-28,16,2,2,103334,73286,31839,2011,35
2011-09-04,31,0,0,103498,73290,31843,2011,36
2011-09-11,16,0,0,103667,73290,31843,2011,37
2011-09-18,27,0,0,103832,73290,31843,2011,38
2011-09-25,23,1,1,103993,73295,31848,2011,39
2011-10-02,34,1,1,104208,73300,31853,2011,40
2011-10-09,36,2,2,104455,73310,31863,2011,41
2011-10-16,40,0,0,104731,73318,31871,2011,42
2011-10-23,50,3,3,105077,73335,31888,2011,43
2011-10-30,37,0,0,105338,73339,31892,2011,44
2011-11-06,24,1,1,105535,73346,31899,2011,45
2011-11-13,26,0,0,105723,73346,31899,2011,46
2011-11-20,71,2,1,106072,73355,31901,2011,47
2011-11-27,93,2,1,106671,73374,31913,2011,48
2011-12-04,81,3,1,107273,73389,31919,2011,49
2011-12-11,98,3,2,107902,73408,31931,2011,50
2011-12-18,109,4,2,108708,73436,31944,2011,51
2011-12-25,49,0,0,109171,73444,31948,2011,52
2012-01-01,51,2,2,109525,73456,31960,2012,1
2012-01-08,48,1,1,109863,73464,31968,2012,2
2012-01-15,53,3,3,110244,73474,31978,2012,3
2012-01-22,49,2,2,110562,73495,31999,2012,4
2012-01-29,40,4,4,110872,73510,32014,2012,5
2012-02-05,35,2,1,111146,73542,32039,2012,6
2012-02-12,32,8,8,111386,73584,32081,2012,7
2012-02-19,22,3,2,111552,73608,32101,2012,8
2012-02-26,42,9,9,111804,73659,32149,2012,9
2012-03-04,29,1,1,112013,73686,32176,2012,10
2012-03-11,38,6,6,112278,73712,32202,2012,11
2012-03-18,38,5,5,112531,73752,32242,2012,12
2012-03-25,33,3,3,112780,73773,32263,2012,13
2012-04-01,26,3,3,112997,73801,32291,2012,14
2012-04-08,28,9,9,113144,73829,32319,2012,15
2012-04-15,33,6,6,113391,73889,32379,2012,16
2012-04-22,25,3,3,113592,73922,32412,2012,17
2012-04-29,26,7,7,113773,73963,32453,2012,18
2012-05-06,23,9,9,113934,74021,32511,2012,19
2012-05-13,23,3,3,114100,74058,32548,2012,20
2012-05-20,15,2,2,114215,74075,32565,2012,21
2012-05-27,19,3,3,114373,74100,32590,2012,22
2012-06-03,12,2,2,114448,74110,32600,2012,23
2012-06-10,8,2,2,114511,74127,32617,2012,24
2012-06-17,13,0,0,114598,74130,32620,2012,25
2012-06-24,9,1,1,114670,74133,32623,2012,26
2012-07-01,14,3,3,114763,74153,32643,2012,27
2012-07-08,7,5,5,114814,74176,32666,2012,28
2012-07-15,3,3,3,114858,74209,32699,2012,29
2012-07-22,0,0,0,114863,74214,32704,2012,30
2012-07-29,4,0,0,114877,74214,32704,2012,31
2012-08-05,4,2,2,114910,74226,32716,2012,32
2012-08-12,5,2,2,114943,74239,32729,2012,33
2012-08-19,3,0,0,114970,74242,32732,2012,34
2012-08-26,8,1,1,115013,74249,32739,2012,35
2012-09-02,6,0,0,115046,74249,32739,2012,36
2012-09-09,5,0,0,115094,74249,32739,2012,37
2012-09-16,8,1,1,115145,74254,32744,2012,38
2012-09-23,8,0,0,115212,74256,32746,2012,39
2012-09-30,7,0,0,115243,74256,32746,2012,40
2012-10-07,16,2,2,115351,74267,32757,2012,41
2012-10-14,6,0,0,115413,74270,32760,2012,42
2012-10-21,4,0,0,115441,74270,32760,2012,43
2012-10-28,7,1,1,115491,74276,32766,2012,44
2012-11-04,7,0,0,115529,74277,32767,2012,45
2012-11-11,13,0,0,115605,74277,32767,2012,46
2012-11-18,10,0,0,115677,74277,32767,2012,47
2012-11-25,21,1,1,115811,74282,32772,2012,48
2012-12-02,17,2,2,115926,74292,32782,2012,49
2012-12-09,29,3,3,116089,74316,32806,2012,50
2012-12-16,26,2,1,116287,74323,32810,2012,51
2012-12-23,25,5,3,116482,74356,32831,2012,52
2012-12-30,21,5,4,116612,74388,32855,2012,53
2013-01-06,48,6,3,116874,74416,32869,2013,2
2013-01-13,49,12,8,117230,74489,32910,2013,3
2013-01-20,53,11,11,117567,74587,33000,2013,4
2013-01-27,76,23,21,118026,74691,33095,2013,5
2013-02-03,76,15,15,118564,74831,33230,2013,6
2013-02-10,121,48,47,119303,75060,33452,2013,7
2013-02-17,103,37,35,120022,75354,33733,2013,8
2013-02-24,146,44,43,120924,75613,33985,2013,9
2013-03-03,217,71,70,122201,76051,34419,2013,10
2013-03-10,292,104,95,123982,76621,34962,2013,11
2013-03-17,462,139,114,126797,77528,35767,2013,12
2013-03-24,483,358,120,130178,79344,36628,2013,13
2013-03-31,383,306,102,133233,81816,37356,2013,14
2013-04-07,455,367,131,136062,84072,38170,2013,15
2013-04-14,447,348,145,139342,86672,39112,2013,16
2013-04-21,383,306,164,142220,88961,40317,2013,17
2013-04-28,264,133,66,144389,90421,41005,2013,18
2013-05-05,163,63,63,145765,90964,41460,2013,19
2013-05-12,133,46,45,146794,91338,41828,2013,20
2013-05-19,85,27,27,147517,91574,42063,2013,21
2013-05-26,75,12,12,148070,91694,42183,2013,22
2013-06-02,54,12,12,148536,91794,42283,2013,23
2013-06-09,56,17,17,148901,91896,42385,2013,24
2013-06-16,27,6,6,149165,91965,42454,2013,25
2013-06-23,19,4,3,149332,91998,42485,2013,26
2013-06-30,14,0,0,149433,92008,42490,2013,27
2013-07-07,19,4,4,149557,92022,42504,2013,28
2013-07-14,17,1,1,149680,92037,42519,2013,29
2013-07-21,4,0,0,149736,92043,42525,2013,30
2013-07-28,3,2,2,149759,92049,42531,2013,31
2013-08-04,12,1,1,149814,92063,42545,2013,32
