data_iniSE,casos,pop,inc,trimestre,UF,trimestre-tick,regiao
2010-03-31,9888,15989929.0,0.0006183892373756006,201001,RJ,1° - 2010,Sudeste
2010-06-30,20522,15989929.0,0.001283432840758705,201002,RJ,2° - 2010,Sudeste
2010-09-30,7405,15989929.0,0.00046310399502086597,201003,RJ,3° - 2010,Sudeste
2010-12-31,5628,15989929.0,0.0003519715440887824,201004,RJ,4° - 2010,Sudeste
2011-03-31,73770,16112637.0,0.004578393964935721,201101,RJ,1° - 2011,Sudeste
2011-06-30,115033,16112637.0,0.007139303144482185,201102,RJ,2° - 2011,Sudeste
2011-09-30,7915,16112637.0,0.0004912293375690149,201103,RJ,3° - 2011,Sudeste
2011-12-31,13274,16112637.0,0.0008238254234859259,201104,RJ,4° - 2011,Sudeste
2012-03-31,76439,16231365.0,0.004709338986585539,201201,RJ,1° - 2012,Sudeste
2012-06-30,163650,16231365.0,0.010082331338122209,201202,RJ,2° - 2012,Sudeste
2012-09-30,13881,16231365.0,0.0008551960971859114,201203,RJ,3° - 2012,Sudeste
2012-12-31,11022,16231365.0,0.0006790556431945187,201204,RJ,4° - 2012,Sudeste
2013-03-31,173015,16369179.0,0.010569558803162944,201301,RJ,1° - 2013,Sudeste
2013-06-30,85444,16369179.0,0.005219809741221597,201302,RJ,2° - 2013,Sudeste
2013-09-30,3657,16369179.0,0.0002234076614349443,201303,RJ,3° - 2013,Sudeste
2013-12-31,3788,16369179.0,0.00023141050629356548,201304,RJ,4° - 2013,Sudeste
2014-03-31,6525,16461173.0,0.0003963873048415201,201401,RJ,1° - 2014,Sudeste
2014-06-30,4228,16461173.0,0.0002568468237348578,201402,RJ,2° - 2014,Sudeste
2014-09-30,2909,16461173.0,0.00017671887659524629,201403,RJ,3° - 2014,Sudeste
2014-12-31,2142,16461173.0,0.00013012438421004384,201404,RJ,4° - 2014,Sudeste
2015-03-31,24751,16550024.0,0.0014955265321669625,201501,RJ,1° - 2015,Sudeste
2015-06-30,44414,16550024.0,0.002683621485986969,201502,RJ,2° - 2015,Sudeste
2015-09-30,8844,16550024.0,0.0005343798897210058,201503,RJ,3° - 2015,Sudeste
2015-12-31,14826,16550024.0,0.000895829516621849,201504,RJ,4° - 2015,Sudeste
2016-03-31,71166,16635996.0,0.0042778322379976525,201601,RJ,1° - 2016,Sudeste
2016-06-30,35540,16635996.0,0.0021363313624263914,201602,RJ,2° - 2016,Sudeste
2016-09-30,2612,16635996.0,0.0001570089341209267,201603,RJ,3° - 2016,Sudeste
2016-12-31,3287,16635996.0,0.0001975836012463576,201604,RJ,4° - 2016,Sudeste
2017-03-31,8259,16718956.0,0.0004939901749846103,201701,RJ,1° - 2017,Sudeste
2017-06-30,5242,16718956.0,0.00031353632367954075,201702,RJ,2° - 2017,Sudeste
2017-09-30,2145,16718956.0,0.00012829748460370372,201703,RJ,3° - 2017,Sudeste
2017-12-31,3155,16718956.0,0.00018870795520964346,201704,RJ,4° - 2017,Sudeste
2018-03-31,10773,17159960.0,0.0006277986661973571,201801,RJ,1° - 2018,Sudeste
2018-06-30,10350,17159960.0,0.000603148259086851,201802,RJ,2° - 2018,Sudeste
2018-09-30,3123,17159960.0,0.0001819934312201194,201803,RJ,3° - 2018,Sudeste
2018-12-31,3463,17159960.0,0.00020180699721910773,201804,RJ,4° - 2018,Sudeste
2019-03-31,13755,17264943.0,0.0007967011533139728,201901,RJ,1° - 2019,Sudeste
2019-06-30,33167,17264943.0,0.00192106049814355,201902,RJ,2° - 2019,Sudeste
2019-09-30,3758,17264943.0,0.00021766651647792872,201903,RJ,3° - 2019,Sudeste
2019-12-31,2842,17264943.0,0.0001646110270969328,201904,RJ,4° - 2019,Sudeste
2020-03-31,5311,17366189.0,0.00030582415059515934,202001,RJ,1° - 2020,Sudeste
2020-06-30,1779,17366189.0,0.00010244043756520213,202002,RJ,2° - 2020,Sudeste
