municipio_geocodigo,data_iniSE,casos
3100104,2023-12-31,672
3100203,2023-12-31,1301
3100302,2023-12-31,187
3100401,2023-12-31,228
3100500,2023-12-31,25
3100609,2023-12-31,31
3100708,2023-12-31,126
3100807,2023-12-31,40
3100906,2023-12-31,675
3101003,2023-12-31,8
3101102,2023-12-31,513
3101201,2023-12-31,0
3101300,2023-12-31,0
3101409,2023-12-31,0
3101508,2023-12-31,245
3101607,2023-12-31,1581
3101631,2023-12-31,44
3101706,2023-12-31,481
3101805,2023-12-31,56
3101904,2023-12-31,354
3102001,2023-12-31,350
3102050,2023-12-31,21
3102100,2023-12-31,431
3102209,2023-12-31,529
3102308,2023-12-31,940
3102407,2023-12-31,9
3102506,2023-12-31,137
3102605,2023-12-31,62
3102704,2023-12-31,33
3102803,2023-12-31,1
3102852,2023-12-31,8
3102902,2023-12-31,13
3103009,2023-12-31,135
3103108,2023-12-31,34
3103207,2023-12-31,55
3103306,2023-12-31,0
3103405,2023-12-31,1340
3103504,2023-12-31,4311
3103603,2023-12-31,0
3103702,2023-12-31,18
3103751,2023-12-31,429
3103801,2023-12-31,40
3103900,2023-12-31,863
3104007,2023-12-31,4567
3104106,2023-12-31,145
3104205,2023-12-31,1435
3104304,2023-12-31,72
3104403,2023-12-31,49
3104452,2023-12-31,4
3104502,2023-12-31,143
3104601,2023-12-31,61
3104700,2023-12-31,25
3104809,2023-12-31,76
3104908,2023-12-31,14
3105004,2023-12-31,100
3105103,2023-12-31,161
3105202,2023-12-31,4
3105301,2023-12-31,24
3105400,2023-12-31,881
3105509,2023-12-31,215
3105608,2023-12-31,391
3105707,2023-12-31,369
3105905,2023-12-31,157
3106002,2023-12-31,259
3106101,2023-12-31,5
3106200,2023-12-31,61495
3106309,2023-12-31,107
3106408,2023-12-31,39
3106507,2023-12-31,81
3106606,2023-12-31,11
3106655,2023-12-31,7
3106705,2023-12-31,13189
3106804,2023-12-31,0
3106903,2023-12-31,558
3107000,2023-12-31,355
3107109,2023-12-31,1520
3107208,2023-12-31,0
3107307,2023-12-31,2018
3107406,2023-12-31,1918
3107505,2023-12-31,0
3107604,2023-12-31,115
3107703,2023-12-31,2
3107802,2023-12-31,157
3107901,2023-12-31,3
3108008,2023-12-31,140
3108107,2023-12-31,111
3108206,2023-12-31,375
3108255,2023-12-31,252
3108305,2023-12-31,24
3108404,2023-12-31,11
3108503,2023-12-31,94
3108552,2023-12-31,778
3108602,2023-12-31,634
3108701,2023-12-31,26
