dates,model,predictions,lower,upper
2021-12-26,RF,224.03,0.0,657.1519836023894
2022-01-02,RF,311.15,0.0,926.3365321076265
2022-01-09,RF,989.63,0.0,2139.728588533835
2022-01-16,RF,1550.55,104.70921930555687,2996.390780694443
2022-01-23,RF,368.89,0.0,2020.1118386971093
2022-01-30,RF,286.04,0.0,1977.9155560072354
2022-02-06,RF,1038.74,0.0,3065.6047133125007
2022-02-13,RF,689.98,0.0,2314.797454767753
2022-02-20,RF,188.62,0.0,1767.3074949750549
2022-02-27,RF,161.95,0.0,1571.2260137835044
2022-03-06,RF,200.13,0.0,1336.929384227194
2022-03-13,RF,215.03,0.0,1515.0707777293594
2022-03-20,RF,518.9,0.0,1791.7560660415133
2022-03-27,RF,742.31,0.0,1816.2276283877022
2022-04-03,RF,801.27,483.2284342271998,1119.3115657728001
2022-04-10,RF,860.5,641.0858532299969,1079.914146770003
2022-04-17,RF,1214.08,889.1095613257171,1539.0504386742828
2022-04-24,RF,1763.05,1279.287686432558,2246.812313567442
2022-05-01,RF,2949.52,2573.3737242992406,3325.6662757007593
2022-05-08,RF,3143.55,2692.6029652540356,3594.497034745965
2022-05-15,RF,2889.48,2380.0410531349635,3398.9189468650366
2022-05-22,RF,2864.94,2195.845205999733,3534.034794000267
2022-05-29,RF,1931.35,1053.005504222714,2809.6944957772857
2022-06-05,RF,2258.86,978.1705533794322,3539.5494466205682
2022-06-12,RF,2145.76,642.3987055226689,3649.1212944773315
2022-06-19,RF,1982.78,258.81551215567333,3706.7444878443266
2022-06-26,RF,1012.62,0.0,3956.855108421406
2022-07-03,RF,1537.62,0.0,4937.582709339813
2022-07-10,RF,1514.05,0.0,5244.036533076395
2022-07-17,RF,916.27,0.0,4288.537586643774
2022-07-24,RF,836.82,0.0,4212.159609874402
2022-07-31,RF,865.16,0.0,3667.940713634556
2022-08-07,RF,473.19,0.0,2280.3583317481907
2022-08-14,RF,524.21,0.0,2384.778147409617
2022-08-21,RF,571.99,0.0,2170.4675018850676
2022-08-28,RF,668.95,0.0,2069.7294122633184
2022-09-04,RF,1361.79,0.0,3369.3037859397978
2022-09-11,RF,776.33,0.0,2597.346172593929
2022-09-18,RF,325.5,0.0,2030.082695632246
2022-09-25,RF,350.73,0.0,2111.61054207096
2022-10-02,RF,248.73,0.0,1125.5545272347852
2022-10-09,RF,252.44,0.0,868.7626772803799
2022-10-16,RF,283.72,0.0,1000.7980685606678
2022-10-23,RF,229.64,0.0,611.4662521393066
2022-10-30,RF,297.55,0.0,672.6023814902776
2022-11-06,RF,289.44,83.1919130180762,495.6880869819238
2022-11-13,RF,113.48,40.55447611846887,186.40552388153114
2022-11-20,RF,114.01,0.0,437.7292168854932
2022-11-27,RF,113.59,0.0,417.7943317576253
2022-12-04,RF,108.25,0.0,500.59842504782114
2022-12-11,RF,139.9,0.0,838.5118464577146
2022-12-18,RF,422.95,0.0,1223.0878078989892
2022-12-25,RF,198.52,0.0,1125.859448720612
2023-01-01,RF,197.28,0.0,955.0293210783632
2023-01-08,RF,167.76,0.0,1045.4634189682215
2023-01-15,RF,131.4,0.0,811.3656812392842
2023-01-22,RF,146.25,0.0,885.3400441325574
2023-01-29,RF,178.03,0.0,1169.5347553291438
2023-02-05,RF,456.97,0.0,1185.6595602404745
2023-02-12,RF,306.45,0.0,1203.7203701421165
2023-02-19,RF,521.72,148.46408325748303,894.975916742517
2023-02-26,RF,617.39,0.0,1295.5156681300905
2023-03-05,RF,450.54,0.0,970.7839313818718
2023-03-12,RF,575.39,127.50274605654869,1023.2772539434513
2023-03-19,RF,560.62,176.1922999550232,945.0477000449769
