dates,target
2021-12-26,54.0
2022-01-02,212.0
2022-01-09,236.0
2022-01-16,174.0
2022-01-23,115.0
2022-01-30,144.0
2022-02-06,191.0
2022-02-13,302.0
2022-02-20,323.0
2022-02-27,439.0
2022-03-06,488.0
2022-03-13,690.0
2022-03-20,783.0
2022-03-27,984.0
2022-04-03,1320.0
2022-04-10,1499.0
2022-04-17,1797.0
2022-04-24,1771.0
2022-05-01,2270.0
2022-05-08,2609.0
2022-05-15,2618.0
2022-05-22,1753.0
2022-05-29,2289.0
2022-06-05,2286.0
2022-06-12,1840.0
2022-06-19,1705.0
2022-06-26,1539.0
2022-07-03,934.0
2022-07-10,745.0
2022-07-17,809.0
2022-07-24,733.0
2022-07-31,854.0
2022-08-07,604.0
2022-08-14,563.0
2022-08-21,471.0
2022-08-28,430.0
2022-09-04,449.0
2022-09-11,395.0
2022-09-18,355.0
2022-09-25,256.0
2022-10-02,294.0
2022-10-09,190.0
2022-10-16,207.0
2022-10-23,158.0
2022-10-30,159.0
2022-11-06,200.0
2022-11-13,254.0
2022-11-20,173.0
2022-11-27,161.0
2022-12-04,118.0
2022-12-11,103.0
2022-12-18,99.0
2022-12-25,140.0
2023-01-01,261.0
2023-01-08,184.0
2023-01-15,255.0
2023-01-22,266.0
2023-01-29,263.0
2023-02-05,310.0
2023-02-12,349.0
2023-02-19,504.0
2023-02-26,708.0
2023-03-05,758.0
2023-03-12,780.0
2023-03-19,730.0
2023-03-26,580.0
2023-04-02,409.0
2023-04-09,452.0
2023-04-16,434.0
2023-04-23,379.0
2023-04-30,429.0
2023-05-07,361.0
2023-05-14,312.0
2023-05-21,360.0
2023-05-28,340.0
2023-06-04,313.0
2023-06-11,263.0
2023-06-18,284.0
2023-06-25,230.0
2023-07-02,236.0
